OBJECTID,Lon,Lat,Depth,Dip,Strike
79,210.599999999999994,60.850000000000001,-27.416799999999999,4.203500000000000,229.704399999999993
80,210.650000000000006,60.850000000000001,-27.285100000000000,4.362500000000000,229.496900000000011
81,210.699999999999989,60.799999999999997,-26.820300000000000,4.583800000000000,226.617999999999995
82,210.750000000000000,60.750000000000000,-26.339500000000001,4.781100000000000,224.574000000000012
83,210.800000000000011,60.700000000000003,-25.845500000000001,4.926600000000000,223.354199999999992
84,210.849999999999994,60.700000000000003,-25.675500000000000,4.946900000000000,224.359399999999994
85,210.849999999999994,60.649999999999999,-25.342400000000001,5.005400000000000,222.887599999999992
86,210.900000000000006,60.649999999999999,-25.169300000000000,4.976400000000000,224.099199999999996
87,210.900000000000006,60.600000000000001,-24.835000000000001,5.015400000000000,223.082899999999995
88,210.949999999999989,60.600000000000001,-24.662900000000000,4.945000000000000,224.449299999999994
89,211.000000000000000,60.549999999999997,-24.160299999999999,4.864800000000000,225.311299999999989
90,211.050000000000011,60.500000000000000,-23.664500000000000,4.750800000000000,226.577300000000008
91,211.099999999999994,60.450000000000003,-23.177700000000002,4.617500000000000,228.129400000000004
92,211.150000000000006,60.450000000000003,-23.034099999999999,4.501400000000000,229.688700000000011
93,211.150000000000006,60.399999999999999,-22.701200000000000,4.474700000000000,229.845100000000002
94,211.199999999999989,60.399999999999999,-22.566600000000001,4.364000000000000,231.294700000000006
95,211.199999999999989,60.350000000000001,-22.236300000000000,4.327100000000000,231.609499999999997
96,211.250000000000000,60.350000000000001,-22.110600000000002,4.224200000000000,232.922799999999995
97,211.250000000000000,60.299999999999997,-21.783999999999999,4.173900000000000,233.329499999999996
98,211.300000000000011,60.299999999999997,-21.667100000000001,4.078800000000000,234.498700000000014
99,211.349999999999994,60.250000000000000,-21.237600000000000,3.921800000000000,235.975300000000004
100,211.400000000000006,60.200000000000003,-20.824300000000001,3.747300000000000,237.325999999999993
101,211.449999999999989,60.200000000000003,-20.728700000000000,3.670600000000000,238.036499999999990
102,211.449999999999989,60.149999999999999,-20.429700000000000,3.551200000000000,238.531200000000013
103,211.500000000000000,60.149999999999999,-20.341999999999999,3.477500000000000,239.095699999999994
104,211.500000000000000,60.100000000000001,-20.056899999999999,3.332900000000000,239.558500000000009
105,211.550000000000011,60.100000000000001,-19.976700000000001,3.263700000000000,239.941599999999994
106,211.550000000000011,60.049999999999997,-19.708300000000001,3.096600000000000,240.340100000000007
107,211.599999999999994,60.049999999999997,-19.635100000000001,3.034900000000000,240.467800000000011
108,211.650000000000006,60.000000000000000,-19.318700000000000,2.801200000000000,240.505500000000012
109,211.699999999999989,59.950000000000003,-19.027400000000000,2.576600000000000,239.817700000000002
110,211.750000000000000,59.950000000000003,-18.963699999999999,2.560700000000000,238.478100000000012
111,211.750000000000000,59.899999999999999,-18.759599999999999,2.377800000000000,238.125400000000013
112,211.800000000000011,59.899999999999999,-18.696999999999999,2.389200000000000,236.090599999999995
113,211.800000000000011,59.850000000000001,-18.512200000000000,2.222700000000000,235.197000000000003
114,211.849999999999994,59.850000000000001,-18.448000000000000,2.268400000000000,232.477100000000007
115,211.849999999999994,59.799999999999997,-18.280500000000000,2.129000000000000,231.006599999999992
116,211.900000000000006,59.799999999999997,-18.211800000000000,2.214400000000000,227.794499999999999
117,211.949999999999989,59.750000000000000,-17.983100000000000,2.236500000000000,222.532600000000002
118,212.000000000000000,59.700000000000003,-17.756100000000000,2.333300000000000,217.350799999999992
119,212.050000000000011,59.649999999999999,-17.525700000000001,2.491800000000000,212.783600000000007
120,212.099999999999994,59.649999999999999,-17.417400000000001,2.692100000000000,210.467899999999986
121,212.099999999999994,59.600000000000001,-17.288100000000000,2.690900000000000,209.069500000000005
122,212.150000000000006,59.600000000000001,-17.166899999999998,2.897900000000000,207.216800000000006
123,212.150000000000006,59.549999999999997,-17.040600000000001,2.907000000000000,206.192100000000011
124,212.199999999999989,59.549999999999997,-16.906800000000000,3.108800000000000,204.706700000000012
125,212.250000000000000,59.500000000000000,-16.636900000000001,3.306000000000000,202.788999999999987
126,212.300000000000011,59.450000000000003,-16.358100000000000,3.476700000000000,201.320600000000013
127,212.349999999999994,59.399999999999999,-16.072099999999999,3.615700000000000,200.194899999999990
128,212.400000000000006,59.399999999999999,-15.900700000000001,3.742900000000000,199.438500000000005
