X,Y,Name,description,altitudeMode,sta,Field1,lon,staname,elev,lat,net,FID,Field_1
144.4382,-89.9289,b'South Pole Remote Earth Science Observatory (Quiet',,clampToGround,b'QSPA',417,144.4382,b'South Pole Remote Earth Science Observatory (Quiet',2.85,-89.9289,b'IU',322,b'South Pole Remote Earth Science Observatory (Quiet'
-157.5742,57.5673,"b'Pilot Point, AK, USA'",,clampToGround,b'R16K',418,-157.5742,"b'Pilot Point, AK, USA'",0.038,57.5673,"b'AK, mag'",323,"b'Pilot Point, AK, USA'"
-154.4524,57.5665,"b'Karluk, AK, USA'",,clampToGround,b'R18K',420,-154.4524,"b'Karluk, AK, USA'",0.039,57.5665,"b'AK, mag'",324,"b'Karluk, AK, USA'"
-177.929,-29.245,"b'Raoul, Kermadec Islands'",,clampToGround,b'RAO',423,-177.929,"b'Raoul, Kermadec Islands'",0.06,-29.245,b'IU',326,"b'Raoul, Kermadec Islands'"
-159.7733,-21.2125,"b'Rarotonga, Cook Islands'",,clampToGround,b'RAR',424,-159.7733,"b'Rarotonga, Cook Islands'",0.028,-21.2125,b'IU',327,"b'Rarotonga, Cook Islands'"
45.5032,23.5225,"b'Ar Rayn, Saudi Arabia'",,clampToGround,b'RAYN',425,45.5032,"b'Ar Rayn, Saudi Arabia'",0.631,23.5225,b'II',328,"b'Ar Rayn, Saudi Arabia'"
-149.739,61.0889,"b'Rabbit Creek, AK, USA'",,clampToGround,b'RC01',426,-149.739,"b'Rabbit Creek, AK, USA'",0.39,61.0889,"b'mag, AK'",329,"b'Rabbit Creek, AK, USA'"
-35.9014,-5.8274,"b'Riachuelo, Brazil'",,clampToGround,b'RCBR',427,-35.9014,"b'Riachuelo, Brazil'",0.4,-5.8274,b'IU',330,"b'Riachuelo, Brazil'"
-152.4075,60.5726,"b'Redoubt, Alaska'",,clampToGround,b'RDT',432,-152.4075,"b'Redoubt, Alaska'",0.93,60.5726,"b'AV, Redoubt, mag'",332,"b'Redoubt, Alaska'"
-152.8425,60.4875,"b'Redoubt, West Buttress, Redoubt Alaska'",,clampToGround,b'RDWB',433,-152.8425,"b'Redoubt, West Buttress, Redoubt Alaska'",1.546,60.4875,"b'AV, Redoubt'",333,"b'Redoubt, West Buttress, Redoubt Alaska'"
-144.8462,63.7399,"b'Independent Ridge, AK, USA'",,clampToGround,b'RIDG',436,-144.8462,"b'Independent Ridge, AK, USA'",0.871,63.7399,"b'AK, mag'",334,"b'Independent Ridge, AK, USA'"
-148.8602,63.4056,"b'Reindeer, AK, USA'",,clampToGround,b'RND',438,-148.8602,"b'Reindeer, AK, USA'",0.9936,63.4056,"b'AK, mag'",335,"b'Reindeer, AK, USA'"
