ZRO      54.0907 -165.9800    0.4460 Zero, Akutan Volcano, Alaska                      
AAK      42.6390   74.4940    1.6450 Ala Archa, Kyrgyzstan                             
ABKT     37.9304   58.1189    0.6780 Alibek, Turkmenistan                              
ABPO    -19.0180   47.2290    1.5280 Ambohimpanompo, Madagascar                        
AFI     -13.9093 -171.7773    0.7060 Afiamalu, Samoa                                   
ALE      82.5033  -62.3500    0.0600 Alert, N.W.T., Canada                             
ANMO     34.9459 -106.4572    1.8200 Albuquerque, New Mexico, USA                      
ANTO     39.8680   32.7934    1.0900 Ankara, Turkey                                    
ANWB     17.6685  -61.7856    0.0390 Willy Bob, Antigua and Barbuda                    
ASCN     -7.9327  -14.3601    0.1730 Butt Crater, Ascension Island                     
ATTUB    52.8821  173.1643    0.2500 Attu Island, AK, USA                              
BBGH     13.1434  -59.5588    0.1800 Gun Hill, Barbados                                
BBSR     32.3713  -64.6963    0.0300 Bermuda Biological Station for Research, St George
BCIP      9.1665  -79.8373    0.0610 Isla Barro Colorado, Panama                       
BFO      48.3319    8.3311    0.5890 Black Forest Observatory, Schiltach, Germany      
BILL     68.0653  166.4531    0.3200 Bilibino, Russia                                  
BJT      40.0183  116.1679    0.1970 Baijiatuan, Beijing, China                        
BORG     64.7474  -21.3268    0.1100 Borgarfjordur, Asbjarnarstadir, Iceland           
BRVK     53.0581   70.2828    0.3300 Borovoye, Kazakhstan                              
BTDF      1.3608  103.7729    0.0640 Bukit Timah Dairy Farm, Singapore                 
CASY    -66.2792  110.5354    0.0100 Casey, Antarctica                                 
CCM      38.0557  -91.2446    0.2220 Cathedral Cave, Missouri, USA                     
CHTO     18.8141   98.9443    0.4200 Chiang Mai, Thailand                              
CMB      38.0346 -120.3865    0.6970 Columbia College, Columbia, CA, USA               
CMLA     37.7637  -25.5243    0.4290 Cha de Macela, Sao Miguel Island, Azores          
COCO    -12.1901   96.8349    0.0010 West Island, Cocos (Keeling) Islands              
COR      44.5855 -123.3046    0.1100 Corvallis, Oregon, USA                            
CTAO    -20.0882  146.2545    0.3570 Charters Towers, Australia                        
DAV       7.0697  125.5791    0.1500 Davao, Philippines                                
DGAR     -7.4121   72.4525    0.0010 Diego Garcia, Chagos Islands, Indian Ocean        
DWPF     28.1103  -81.4327    0.0300 Disney Wilderness Preserve, Florida, USA          
EFI     -51.6753  -58.0637    0.1100 Mount Kent, East Falkland Island                  
ENH      30.2762  109.4944    0.5000 Enshi, Hubei Province, China                      
ERM      42.0150  143.1572    0.0400 Erimo, Hokkaido Island, Japan                     
ESK      55.3167   -3.2050    0.2420 Eskdalemuir, Scotland, UK                         
FFC      54.7250 -101.9783    0.3380 Flin Flon, Canada                                 
FUNA     -8.5259  179.1966    0.0200 Funafuti, Tuvalu                                  
FURI      8.8952   38.6798    2.5700 Mt. Furi, Ethiopia                                
GNI      40.1480   44.7410    1.6090 Garni, Armenia                                    
GRFO     49.6909   11.2203    0.3840 Grafenberg, Germany                               
GRGR     12.1324  -61.6540    0.1950 Grenville, Grenada                                
GRTK     21.5115  -71.1327    0.0120 Grand Turk, Turks and Caicos Islands              
GTBY     19.9268  -75.1108    0.0790 Guantanamo Bay, Cuba                              
GUMO     13.5893  144.8684    0.1700 Guam, Mariana Islands                             
HIA      49.2704  119.7414    0.6200 Hailar, Neimenggu Province, China                 
HKT      29.9618  -95.8384   -0.4130 Hockley, Texas                                    
HNR      -9.4387  159.9475    0.1000 Honiara, Solomon Islands                          
HRV      42.5064  -71.5583    0.2000 Adam Dziewonski Observatory (Oak Ridge), Massachus
IL31     64.7714 -146.8866    0.4190 ILAR Array, Eilson, AK, USA                       
INCN     37.4776  126.6239    0.0800 Inchon, Republic of Korea                         
JOHN     16.7329 -169.5292    0.0020 Johnston Island, USA                              
JTS      10.2908  -84.9525    0.3400 Las Juntas de Abangares, Costa Rica               
KAPI     -5.0142  119.7517    0.3000 Kappang, Sulawesi, Indonesia                      
KBL      34.5408   69.0432    1.9200 Kabul, Afghanistan                                
KBS      78.9154   11.9385    0.0900 Ny-Alesund, Spitzbergen, Norway                   
KEV      69.7565   27.0035    0.1000 Kevo, Finland                                     
KIEV     50.7012   29.2242    0.1800 Kiev, Ukraine                                     
KIP      21.4200 -158.0112    0.1100 Kipapa, Hawaii, USA                               
KIV      43.9553   42.6863    1.0540 Kislovodsk, Russia                                
KMBO     -1.1271   37.2525    1.9500 Kilima Mbogo, Kenya                               
KMI      25.1233  102.7400    1.9750 Kunming, Yunnan Province, China                   
KNTN     -2.7744 -171.7186    0.0200 Kanton, Kiritibati                                
KONO     59.6491    9.5982    0.2160 Kongsberg, Norway                                 
KOWA     14.4967   -4.0140    0.3210 Kowa, Mali                                        
KURK     50.7154   78.6202    0.1840 Kurchatov, Kazakhstan                             
KWAJ      8.8019  167.6130    0.0000 Kwajalein Atoll, Pacific Ocean                    
LBTB    -25.0151   25.5967    1.1280 Lobatse, Botswana, Africa                         
LCO     -29.0110  -70.7004    2.3000 Las Campanas Astronomical Observatory, Chile      
LSA      29.7031   91.1270    3.6600 Tibet, China                                      
LSZ     -15.2779   28.1882    1.2000 Lusaka, Zambia                                    
LVC     -22.6127  -68.9111    2.9600 Limon Verde, Chile                                
LVZ      67.8979   34.6514    0.6300 Lovozero, Russia                                  
MA2      59.5756  150.7700    0.3390 Magadan, Russia                                   
MACI     28.2502  -16.5082    1.6740 Morro de la Arena, Canary Islands                 
MAJO     36.5457  138.2041    0.4050 Matsushiro, Japan                                 
MAKZ     46.8080   81.9770    0.6000 Makanchi, Kazakhstan                              
MBAR     -0.6019   30.7382    1.3900 Mbarara, Uganda                                   
MBWA    -21.1590  119.7313    0.1900 Marble Bar, Western Australia                     
MCQ     -54.4986  158.9561    0.0140 Macquarie Island, Australia                       
MDJ      44.6170  129.5908    0.2700 Mudanjiang, Heilongjiang Province, China          
MIDW     28.2156 -177.3698    0.0200 Midway Island, USA                                
MSEY     -4.6737   55.4792    0.4750 Mahe, Seychelles                                  
MSKU     -1.6557   13.6116    0.3120 Masuku, Gabon                                     
MSVF    -17.7448  178.0528    0.8011 Monasavu, Fiji                                    
MTDJ     18.2261  -77.5345    0.9250 Mount Denham, Jamaica                             
NIL      33.6506   73.2686    0.6290 Nilore, Pakistan                                  
NNA     -11.9875  -76.8422    0.5750 Nana, Peru                                        
NRIL     69.5049   88.4414    0.0920 Norilsk, Russia                                   
NV31     38.4328 -118.1530    1.5850 NVAR Array, Mina, NV, USA                         
NWAO    -32.9277  117.2390    0.3800 Narrogin, Australia                               
OBN      55.1146   36.5674    0.1600 Obninsk, Russia                                   
OTAV      0.2376  -78.4508    3.5100 Otavalo, Ecuador                                  
PAB      39.5446   -4.3499    0.9500 San Pablo, Spain                                  
PALK      7.2728   80.7022    0.4600 Pallekele, Sri Lanka                              
PAS      34.1484 -118.1712    0.3140 Pasadena, California, USA                         
PASC     34.1714 -118.1852    0.3410 Pasadena Art Center, College of Design, Pasadena, 
PAYG     -0.6742  -90.2861    0.2700 Puerto Ayora, Galapagos Islands                   
PD31     42.7672 -109.5581    2.2190 PDAR Array, Pinedale, WY, USA                     
PET      53.0233  158.6499    0.1100 Petropavlovsk, Russia                             
PFO      33.6107 -116.4555    1.2800 Pinon Flat, California, USA                       
PMG      -9.4047  147.1597    0.0900 Port Moresby, New Guinea                          
PMSA    -64.7744  -64.0489    0.0400 Palmer Station, Antarctica                        
POHA     19.7573 -155.5326    1.9900 Pohakuloa, Hawaii, USA                            
PTCN    -25.0713 -130.0953    0.2200 Pitcairn Island, South Pacific                    
PTGA     -0.7308  -59.9666    0.2370 Pitinga, Brazil                                   
QIZ      19.0291  109.8445    0.2400 Qiongzhong, Hainan Province, China                
QSPA    -89.9289  144.4382    2.8500 South Pole Remote Earth Science Observatory (Quiet
RAO     -29.2450 -177.9290    0.0600 Raoul, Kermadec Islands                           
RAR     -21.2125 -159.7733    0.0280 Rarotonga, Cook Islands                           
RAYN     23.5225   45.5032    0.6310 Ar Rayn, Saudi Arabia                             
RCBR     -5.8274  -35.9014    0.4000 Riachuelo, Brazil                                 
RPN     -27.1267 -109.3344    0.1100 Rapanui, Easter Island, Chile                     
RSSD     44.1212 -104.0359    2.0900 Black Hills, South Dakota, USA                    
SACV     14.9702  -23.6085    0.3870 Santiago Island, Cape Verde                       
SAML     -8.9489  -63.1831    0.1200 Samuel, Brazil                                    
SBA     -77.8492  166.7572    0.0500 Scott Base, Antarctica                            
