OBJECTID,Field1,Field2,Field3,Field4,Field5
55,208.349999999999994,62.000000000000000,-74.059299999999993,40.383499999999998,199.112899999999996
56,208.400000000000006,62.000000000000000,-72.000299999999996,39.413100000000000,199.548000000000002
57,208.449999999999989,62.000000000000000,-70.017499999999998,38.415900000000001,200.016400000000004
58,208.500000000000000,62.000000000000000,-68.111300000000000,37.391800000000003,200.522899999999993
59,208.349999999999994,61.950000000000003,-72.548299999999998,39.963099999999997,198.478900000000010
60,208.400000000000006,61.950000000000003,-70.509000000000000,38.978700000000003,198.891300000000001
61,208.449999999999989,61.950000000000003,-68.546000000000006,37.967900000000000,199.334100000000007
62,208.500000000000000,61.950000000000003,-66.659499999999994,36.930199999999999,199.811800000000005
63,208.550000000000011,61.950000000000003,-64.849299999999999,35.866500000000002,200.328599999999994
64,208.599999999999994,61.950000000000003,-63.115299999999998,34.779299999999999,200.887900000000002
65,208.500000000000000,61.899999999999999,-65.278599999999997,36.466999999999999,199.144900000000007
66,208.550000000000011,61.899999999999999,-63.488799999999998,35.388500000000001,199.627999999999986
67,208.599999999999994,61.899999999999999,-61.775199999999998,34.286200000000001,200.150399999999991
68,208.650000000000006,61.899999999999999,-60.137300000000003,33.163899999999998,200.715000000000003
69,208.699999999999989,61.899999999999999,-58.574599999999997,32.026299999999999,201.324000000000012
70,208.750000000000000,61.899999999999999,-57.086199999999998,30.879200000000001,201.979600000000005
71,208.650000000000006,61.850000000000001,-58.887200000000000,32.648400000000002,199.980300000000000
72,208.699999999999989,61.850000000000001,-57.345599999999997,31.495400000000000,200.545099999999991
73,208.750000000000000,61.850000000000001,-55.878100000000003,30.333300000000001,201.152600000000007
74,208.800000000000011,61.850000000000001,-54.483499999999999,29.168600000000001,201.804399999999987
75,208.849999999999994,61.850000000000001,-53.160100000000000,28.007999999999999,202.501700000000000
76,208.900000000000006,61.850000000000001,-51.906199999999998,26.858200000000000,203.246199999999988
77,208.750000000000000,61.799999999999997,-54.738399999999999,29.779800000000002,200.376299999999986
78,208.800000000000011,61.799999999999997,-53.365699999999997,28.601299999999998,200.977599999999995
79,208.849999999999994,61.799999999999997,-52.063899999999997,27.428000000000001,201.620100000000008
80,208.900000000000006,61.799999999999997,-50.831200000000003,26.266500000000001,202.304800000000000
81,208.949999999999989,61.799999999999997,-49.665300000000002,25.122900000000001,203.033400000000000
82,209.000000000000000,61.799999999999997,-48.564200000000000,24.002199999999998,203.808600000000013
83,208.900000000000006,61.750000000000000,-49.823599999999999,25.672400000000000,201.434200000000004
84,208.949999999999989,61.750000000000000,-48.679699999999997,24.519800000000000,202.102200000000011
85,209.000000000000000,61.750000000000000,-47.599800000000002,23.391700000000000,202.810599999999994
86,209.050000000000011,61.750000000000000,-46.581600000000002,22.291399999999999,203.563400000000001
87,209.099999999999994,61.750000000000000,-45.622500000000002,21.220900000000000,204.366700000000009
88,209.150000000000006,61.750000000000000,-44.720399999999998,20.180499999999999,205.229700000000008
89,209.000000000000000,61.700000000000003,-46.699500000000000,22.785799999999998,201.912499999999994
90,209.050000000000011,61.700000000000003,-45.703000000000003,21.681500000000000,202.599799999999988
91,209.099999999999994,61.700000000000003,-44.765000000000001,20.608699999999999,203.329900000000009
