 0 1 2 3 4 5 6 7 8
134 -149.900 61.350 -32.020 5.390 235.210 1.960 2.226 -149.927 61.335
135 -149.850 61.350 -31.890 5.200 239.160 3.999 3.942 -149.898 61.323
136 -149.950 61.300 -31.760 5.520 229.930 3.492 -3.747 -149.905 61.326
137 -149.900 61.300 -31.600 5.280 233.550 5.537 -2.030 -149.876 61.314
138 -149.850 61.300 -31.460 5.080 237.360 7.580 -0.311 -149.846 61.302
139 -149.800 61.300 -31.340 4.920 241.240 9.622 1.409 -149.817 61.290
140 -149.750 61.300 -31.240 4.800 245.020 11.662 3.131 -149.788 61.278
141 -149.700 61.300 -31.160 4.710 248.540 13.702 4.855 -149.759 61.267
142 -149.850 61.250 -31.060 4.960 235.850 11.161 -4.564 -149.795 61.281
143 -149.800 61.250 -30.930 4.780 239.570 13.206 -2.841 -149.766 61.270
144 -149.750 61.250 -30.830 4.650 243.240 15.250 -1.117 -149.737 61.258
145 -149.700 61.250 -30.740 4.550 246.690 17.292 0.610 -149.707 61.246
146 -149.650 61.250 -30.660 4.500 249.760 19.333 2.337 -149.678 61.234
147 -149.600 61.250 -30.590 4.480 252.320 21.373 4.067 -149.649 61.222
148 -149.700 61.200 -30.340 4.390 244.860 20.882 -3.635 -149.656 61.225
149 -149.650 61.200 -30.260 4.330 247.780 22.927 -1.905 -149.627 61.213
150 -149.600 61.200 -30.190 4.310 250.210 24.970 -0.173 -149.598 61.201
151 -149.550 61.200 -30.120 4.320 252.070 27.012 1.561 -149.569 61.189
152 -149.500 61.200 -30.060 4.360 253.350 29.052 3.296 -149.540 61.177
153 -149.600 61.150 -29.800 4.160 247.900 28.567 -4.413 -149.547 61.180
154 -149.550 61.150 -29.730 4.170 249.550 30.612 -2.676 -149.518 61.168
155 -149.500 61.150 -29.670 4.220 250.670 32.655 -0.938 -149.489 61.156
156 -149.450 61.150 -29.600 4.290 251.310 34.698 0.801 -149.460 61.145
157 -149.400 61.150 -29.540 4.370 251.550 36.739 2.542 -149.431 61.133
158 -149.350 61.150 -29.470 4.470 251.480 38.778 4.285 -149.402 61.121
159 -149.450 61.100 -29.220 4.170 248.110 38.304 -3.430 -149.409 61.123
160 -149.400 61.100 -29.140 4.270 248.280 40.348 -1.686 -149.380 61.112
161 -149.350 61.100 -29.070 4.390 248.250 42.391 0.059 -149.351 61.100
162 -149.300 61.100 -28.990 4.510 248.090 44.433 1.806 -149.322 61.088
163 -149.250 61.100 -28.910 4.630 247.860 46.473 3.554 -149.293 61.076
164 -149.350 61.050 -28.680 4.320 244.620 46.004 -4.167 -149.300 61.078
165 -149.300 61.050 -28.590 4.450 244.580 48.049 -2.417 -149.271 61.067
166 -149.250 61.050 -28.500 4.580 244.560 50.093 -0.666 -149.242 61.055
167 -149.200 61.050 -28.410 4.710 244.580 52.135 1.087 -149.213 61.043
168 -149.150 61.050 -28.310 4.820 244.610 54.175 2.841 -149.184 61.031
169 -149.100 61.050 -28.210 4.930 244.590 56.215 4.597 -149.156 61.019
170 -149.250 61.000 -28.110 4.560 240.960 53.712 -4.886 -149.191 61.033
171 -149.200 61.000 -28.000 4.690 241.250 55.757 -3.131 -149.162 61.021
172 -149.150 61.000 -27.890 4.800 241.600 57.801 -1.374 -149.133 61.009
173 -149.100 61.000 -27.790 4.900 241.960 59.844 0.385 -149.105 60.997
174 -149.050 61.000 -27.680 4.990 242.250 61.885 2.145 -149.076 60.985
175 -149.000 61.000 -27.570 5.060 242.370 63.925 3.907 -149.047 60.973
176 -149.100 60.950 -27.370 4.880 239.080 63.473 -3.827 -149.054 60.976
177 -149.050 60.950 -27.250 4.950 239.750 65.518 -2.064 -149.025 60.964
178 -149.000 60.950 -27.140 5.020 240.270 67.561 -0.299 -148.996 60.952
179 -148.950 60.950 -27.020 5.080 240.560 69.603 1.467 -148.968 60.940
180 -148.900 60.950 -26.900 5.130 240.510 71.643 3.234 -148.939 60.928
181 -149.000 60.900 -26.720 4.970 237.960 71.196 -4.506 -148.945 60.931
182 -148.950 60.900 -26.590 5.020 238.640 73.241 -2.737 -148.917 60.919
183 -148.900 60.900 -26.470 5.050 239.000 75.285 -0.966 -148.888 60.907
184 -148.850 60.900 -26.350 5.090 238.950 77.327 0.806 -148.860 60.895
185 -148.800 60.900 -26.220 5.140 238.440 79.368 2.579 -148.831 60.882
186 -148.750 60.900 -26.090 5.190 237.460 81.408 4.354 -148.803 60.870
187 -148.850 60.850 -25.930 5.000 237.630 80.973 -3.393 -148.809 60.873
188 -148.800 60.850 -25.800 5.020 237.500 83.017 -1.616 -148.780 60.861
189 -148.750 60.850 -25.670 5.060 236.870 85.060 0.162 -148.752 60.849
190 -148.700 60.850 -25.540 5.100 235.780 87.101 1.941 -148.724 60.837
191 -148.650 60.850 -25.400 5.150 234.260 89.141 3.722 -148.695 60.825
192 -148.750 60.800 -25.270 4.920 236.140 88.711 -4.031 -148.701 60.827
193 -148.700 60.800 -25.140 4.950 235.370 90.756 -2.249 -148.673 60.815
194 -148.650 60.800 -25.000 4.990 234.140 92.799 -0.465 -148.644 60.803
195 -148.600 60.800 -24.860 5.030 232.540 94.841 1.320 -148.616 60.791
196 -148.550 60.800 -24.710 5.080 230.670 96.882 3.107 -148.588 60.779
197 -148.500 60.800 -24.560 5.140 228.640 98.921 4.896 -148.559 60.767
198 -148.650 60.750 -24.620 4.820 233.950 96.457 -4.652 -148.594 60.781
199 -148.600 60.750 -24.480 4.850 232.610 98.502 -2.864 -148.565 60.769
200 -148.550 60.750 -24.340 4.890 230.940 100.546 -1.074 -148.537 60.757
201 -148.500 60.750 -24.190 4.930 229.060 102.588 0.717 -148.509 60.745
202 -148.450 60.750 -24.030 4.970 227.090 104.629 2.510 -148.480 60.733
203 -148.400 60.750 -23.860 5.010 225.110 106.669 4.304 -148.452 60.721
204 -148.500 60.700 -23.830 4.730 229.530 106.256 -3.461 -148.458 60.723
205 -148.450 60.700 -23.680 4.760 227.670 108.300 -1.666 -148.430 60.711
206 -148.400 60.700 -23.530 4.790 225.770 110.343 0.131 -148.402 60.699
207 -148.350 60.700 -23.360 4.820 223.890 112.385 1.930 -148.373 60.687
208 -148.300 60.700 -23.190 4.840 222.110 114.425 3.730 -148.345 60.675
209 -148.400 60.650 -23.200 4.590 226.560 114.017 -4.042 -148.351 60.677
210 -148.350 60.650 -23.040 4.610 224.720 116.062 -2.240 -148.323 60.665
